id,upz,localidad,lon,lat
5006,11.0,1.0,-74.07356314866587,4.717391011060253
5007,11.0,1.0,-74.07356314866587,4.717391011060253
5008,11.0,1.0,-74.07356314866587,4.717391011060253
5009,11.0,1.0,-74.07356314866587,4.717391011060253
5010,11.0,1.0,-74.07356314866587,4.717391011060253
5011,11.0,1.0,-74.07356314866587,4.717391011060253
5012,11.0,1.0,-74.07356314866587,4.717391011060253
5013,11.0,1.0,-74.07356314866587,4.717391011060253
5014,11.0,1.0,-74.07356314866587,4.717391011060253
5015,11.0,1.0,-74.07356314866587,4.717391011060253
5021,11.0,1.0,-74.07356314866587,4.717391011060253
5795,11.0,1.0,-74.07356314866587,4.717391011060253
6565,11.0,1.0,-74.07356314866587,4.717391011060253
6913,11.0,1.0,-74.07356314866587,4.717391011060253
7721,11.0,1.0,-74.07356314866587,4.717391011060253
7722,11.0,1.0,-74.07356314866587,4.717391011060253
7723,11.0,1.0,-74.07356314866587,4.717391011060253
7725,11.0,1.0,-74.07356314866587,4.717391011060253
7727,11.0,1.0,-74.07356314866587,4.717391011060253
7734,11.0,1.0,-74.07356314866587,4.717391011060253
7735,11.0,1.0,-74.07356314866587,4.717391011060253
7737,11.0,1.0,-74.07356314866587,4.717391011060253
7739,11.0,1.0,-74.07356314866587,4.717391011060253
8014,11.0,1.0,-74.07356314866587,4.717391011060253
8661,11.0,1.0,-74.07356314866587,4.717391011060253
8670,11.0,1.0,-74.07356314866587,4.717391011060253
8672,11.0,1.0,-74.07356314866587,4.717391011060253
8673,11.0,1.0,-74.07356314866587,4.717391011060253
8674,11.0,1.0,-74.07356314866587,4.717391011060253
8675,11.0,1.0,-74.07356314866587,4.717391011060253
8685,11.0,1.0,-74.07356314866587,4.717391011060253
8686,11.0,1.0,-74.07356314866587,4.717391011060253
8687,11.0,1.0,-74.07356314866587,4.717391011060253
9018,11.0,1.0,-74.07356314866587,4.717391011060253
9039,11.0,1.0,-74.07356314866587,4.717391011060253
9146,11.0,1.0,-74.07356314866587,4.717391011060253
9432,11.0,1.0,-74.07356314866587,4.717391011060253
230,19.0,11.0,-74.14963816183547,4.549805475432622
323,19.0,11.0,-74.14963816183547,4.549805475432622
655,19.0,11.0,-74.14963816183547,4.549805475432622
656,19.0,11.0,-74.14963816183547,4.549805475432622
817,19.0,11.0,-74.14963816183547,4.549805475432622
821,19.0,11.0,-74.14963816183547,4.549805475432622
1674,19.0,11.0,-74.14963816183547,4.549805475432622
2149,19.0,11.0,-74.14963816183547,4.549805475432622
2160,19.0,11.0,-74.14963816183547,4.549805475432622
2161,19.0,11.0,-74.14963816183547,4.549805475432622
2162,19.0,11.0,-74.14963816183547,4.549805475432622
2960,19.0,11.0,-74.14963816183547,4.549805475432622
2961,19.0,11.0,-74.14963816183547,4.549805475432622
2962,19.0,11.0,-74.14963816183547,4.549805475432622
2963,19.0,11.0,-74.14963816183547,4.549805475432622
2964,19.0,11.0,-74.14963816183547,4.549805475432622
