id,cercafabricasindustria,cercaterminalesbuses,cercatalleresmecanica,contaminacionaire
2969,f,f,f,f
3745,f,f,f,f
3892,f,f,f,f
3893,f,f,f,f
3902,t,f,f,t
3903,t,f,t,t
3904,t,f,t,t
3905,f,f,f,t
4477,f,f,f,f
4478,f,f,f,f
4479,f,f,f,f
4480,f,f,f,f
4481,f,f,f,f
4749,f,f,f,f
4750,f,f,f,f
4751,f,f,f,f
4752,f,f,f,f
4753,f,f,f,f
5024,f,f,t,t
5025,t,f,t,t
6084,f,f,f,f
6085,t,f,t,t
6086,f,f,f,f
6087,t,f,t,f
6088,t,f,t,f
6089,t,f,t,f
6090,f,f,t,t
6715,f,f,f,f
6962,f,f,f,t
6964,f,f,f,f
7223,t,f,f,f
7224,f,f,t,f
7225,f,f,f,f
7226,f,f,f,f
7227,f,f,f,t
7660,f,f,f,f
8284,t,t,t,f
8288,f,f,f,f
8289,f,f,t,t
8410,f,f,f,f
8411,f,f,f,f
8412,f,f,t,f
8778,f,f,f,t
8825,f,f,f,f
8830,f,f,f,f
8831,t,f,t,t
8833,f,f,f,f
9119,f,f,t,t
9148,f,f,f,t
9149,f,f,f,f
9150,f,f,f,f
9151,t,f,t,t
9152,f,f,f,f
9406,f,f,f,t
9407,f,f,f,f
